id,categoria,corso,id_sezione,risorsa,keywords
163,Probability and Statistics,Topics in Statistics: Statistical Learning Theory,1354,Optimistic VC inequality for random classes of sets,"learning ,mathematics ,sets ,statistical ,statistics ,theory"
164,Probability and Statistics,Topics in Statistics: Statistical Learning Theory,1354,Applications of random VC inequality to voting algorithms and SVM,"algorithms ,applications ,learning ,mathematics ,statistical ,statistics ,theory"
165,Probability and Statistics,Topics in Statistics: Statistical Learning Theory,1355,Talagrand''s convex-hull distance inequality,"learning ,mathematics ,statistical ,statistics ,theory"
166,Probability and Statistics,Topics in Statistics: Statistical Learning Theory,1355,Consequences of Talagrand''s convex-hull distance inequality,"learning ,mathematics ,statistical ,statistics ,theory"
167,Probability and Statistics,Topics in Statistics: Statistical Learning Theory,1355,Talagrand''s concentration inequality for empirical processes,"learning ,mathematics ,statistical ,statistics ,theory"
168,Probability and Statistics,Topics in Statistics: Statistical Learning Theory,1355,Talagrand''s two-point inequality,"learning ,mathematics ,statistical ,statistics ,theory"
169,Probability and Statistics,Topics in Statistics: Statistical Learning Theory,1355,Talagrand''s concentration inequality for empirical processes,"learning ,mathematics ,statistical ,statistics ,theory"
170,Probability and Statistics,Topics in Statistics: Statistical Learning Theory,1355,Applications of Talagrand''s concentration inequality,"applications ,learning ,mathematics ,statistical ,statistics ,theory"
171,Probability and Statistics,Topics in Statistics: Statistical Learning Theory,1355,Applications of talagrand''s convex-hull distance inequality. Bin packing,"applications ,learning ,mathematics ,statistical ,statistics ,theory"
172,Probability and Statistics,Topics in Statistics: Statistical Learning Theory,1355,Entropy tensorization inequality. Tensorization of Laplace transform,"entropy ,learning ,mathematics ,statistical ,statistics ,theory"
173,Probability and Statistics,Topics in Statistics: Statistical Learning Theory,1355,Application of the entropy tensorization technique,"entropy ,learning ,mathematics ,statistical ,statistics ,theory"
174,Probability and Statistics,Topics in Statistics: Statistical Learning Theory,1355,Stein''s method for concentration inequalities,"learning ,mathematics ,statistical ,statistics ,theory"
175,Probability and Statistics,Statistics for Applications,1357,Binomial confidence intervals,"applications ,binomial ,confidence ,confidence intervals ,mathematics ,statistics"
176,Probability and Statistics,Probability and Statistics in Engineering,1359,"Events and their Probability, Elementary Operations with Events, Total Probability Theorem, Independence, Bayes'' Theorem 1","bayes ,bayes' theorem ,engineering ,environmental ,events ,independence ,operations ,probability ,statistics ,total probability ,total probability theorem"
177,Probability and Statistics,Probability and Statistics in Engineering,1359,"Events and their Probability, Elementary Operations with Events, Total Probability Theorem, Independence, Bayes'' Theorem 2","bayes ,bayes' theorem ,engineering ,environmental ,events ,independence ,operations ,probability ,statistics ,total probability ,total probability theorem"
178,Probability and Statistics,Probability and Statistics in Engineering,1359,"Events and their Probability, Elementary Operations with Events, Total Probability Theorem, Independence, Bayes'' Theorem 3","bayes ,bayes' theorem ,engineering ,environmental ,events ,independence ,operations ,probability ,statistics ,total probability ,total probability theorem"
179,Probability and Statistics,Probability and Statistics in Engineering,1359,"Events and their Probability, Elementary Operations with Events, Total Probability Theorem, Independence, Bayes'' Theorem 4","bayes ,bayes' theorem ,engineering ,environmental ,events ,independence ,operations ,probability ,statistics ,total probability ,total probability theorem"
180,Probability and Statistics,Probability and Statistics in Engineering,1359,"Events and their Probability, Elementary Operations with Events, Total Probability Theorem, Independence, Bayes'' Theorem 5","bayes ,bayes' theorem ,engineering ,environmental ,events ,independence ,operations ,probability ,statistics ,total probability ,total probability theorem"
181,Probability and Statistics,Probability and Statistics in Engineering,1359,"Random Variables and Vectors, Discrete and Continuous Probability Distributions 1","continuous probability distributions ,discrete ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,random variables and vectors ,statistics ,variables ,vectors"
182,Probability and Statistics,Probability and Statistics in Engineering,1359,"Random Variables and Vectors, Discrete and Continuous Probability Distributions 2","continuous probability distributions ,discrete ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,random variables and vectors ,statistics ,variables ,vectors"
183,Probability and Statistics,Probability and Statistics in Engineering,1359,"Random Variables and Vectors, Discrete and Continuous Probability Distributions 3","continuous probability distributions ,discrete ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,random variables and vectors ,statistics ,variables ,vectors"
184,Probability and Statistics,Probability and Statistics in Engineering,1359,"Random Variables and Vectors, Discrete and Continuous Probability Distributions 4","continuous probability distributions ,discrete ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,random variables and vectors ,statistics ,variables ,vectors"
185,Probability and Statistics,Probability and Statistics in Engineering,1359,"Random Variables and Vectors, Discrete and Continuous Probability Distributions 5","continuous probability distributions ,discrete ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,random variables and vectors ,statistics ,variables ,vectors"
186,Probability and Statistics,Probability and Statistics in Engineering,1359,"Random Variables and Vectors, Discrete and Continuous Probability Distributions 6","continuous probability distributions ,discrete ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,random variables and vectors ,statistics ,variables ,vectors"
187,Probability and Statistics,Probability and Statistics in Engineering,1359,"Random Variables and Vectors, Discrete and Continuous Probability Distributions 7","continuous probability distributions ,discrete ,distributions ,engineering ,environmental ,probability ,probability distributions ,random variables ,random variables and vectors ,statistics ,variables ,vectors"
188,Probability and Statistics,Probability and Statistics in Engineering,1359,Functions of Random Variables and Derived Distributions 1,"distributions ,engineering ,environmental ,functions ,probability ,random variables ,statistics ,variables"
189,Probability and Statistics,Probability and Statistics in Engineering,1359,Functions of Random Variables and Derived Distributions 2,"distributions ,engineering ,environmental ,functions ,probability ,random variables ,statistics ,variables"
190,Probability and Statistics,Probability and Statistics in Engineering,1359,Functions of Random Variables and Derived Distributions 3,"distributions ,engineering ,environmental ,functions ,probability ,random variables ,statistics ,variables"
191,Probability and Statistics,Probability and Statistics in Engineering,1359,Functions of Random Variables and Derived Distributions 4,"distributions ,engineering ,environmental ,functions ,probability ,random variables ,statistics ,variables"
192,Probability and Statistics,Probability and Statistics in Engineering,1359,Expectation of Random Variables and Functions of Random Variables Moments of Variables and Vectors 1,"engineering ,environmental ,expectation ,functions ,probability ,random variables ,statistics ,variables ,vectors"
193,Probability and Statistics,Probability and Statistics in Engineering,1359,Expectation of Random Variables and Functions of Random Variables Moments of Variables and Vectors 2,"engineering ,environmental ,expectation ,functions ,probability ,random variables ,statistics ,variables ,vectors"
194,Probability and Statistics,Probability and Statistics in Engineering,1359,Expectation of Random Variables and Functions of Random Variables Moments of Variables and Vectors 3,"engineering ,environmental ,expectation ,functions ,probability ,random variables ,statistics ,variables ,vectors"
195,Probability and Statistics,Probability and Statistics in Engineering,1359,Expectation of Random Variables and Functions of Random Variables Moments of Variables and Vectors 4,"engineering ,environmental ,expectation ,functions ,probability ,random variables ,statistics ,variables ,vectors"
196,Probability and Statistics,Probability and Statistics in Engineering,1359,Conditional Second Moment Analysis 1,"analysis ,conditional ,engineering ,environmental ,probability ,second ,statistics"
197,Probability and Statistics,Probability and Statistics in Engineering,1359,Conditional Second Moment Analysis 2,"analysis ,conditional ,engineering ,environmental ,probability ,second ,statistics"
198,Probability and Statistics,Probability and Statistics in Engineering,1359,Conditional Second Moment Analysis 3,"analysis ,conditional ,engineering ,environmental ,probability ,second ,statistics"
199,Probability and Statistics,Probability and Statistics in Engineering,1360,"Selected Distribution Models: Normal, Lognormal, Extreme, Multivariate Normal Distributions","distribution ,distributions ,engineering ,environmental ,models ,multivariate ,normal ,probability ,statistics"
200,Probability and Statistics,Probability and Statistics in Engineering,1361,Time-invariant Second-Moment Reliability Analysis and Time-Invariant Full-Distribution Reliability Analysis 1,"analysis ,distribution ,engineering ,environmental ,probability ,reliability ,second ,statistics"
201,Probability and Statistics,Probability and Statistics in Engineering,1361,Time-invariant Second-Moment Reliability Analysis and Time-Invariant Full-Distribution Reliability Analysis 2,"analysis ,distribution ,engineering ,environmental ,probability ,reliability ,second ,statistics"
