"id","category","sortorder","fullname","shortname","idnumber","summary","summaryformat","format","showgrades","newsitems","startdate","enddate","marker","maxbytes","legacyfiles","showreports","visible","visibleold","groupmode","groupmodeforce","defaultgroupingid","lang","calendartype","theme","timecreated","timemodified","requested","enablecompletion","completionnotify","cacherev"
"211","22","60053","Discrete Stochastic Processes","Discrete Stochastic Processes",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"212","22","60052","Advanced Stochastic Processes","Advanced Stochastic Processes",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"213","22","60051","Theory of Probability","Theory of Probability",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"214","22","60050","Econometrics I","Econometrics I",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"215","22","60049","Principles of Applied Mathematics","Principles of Applied Mathematics",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"216","22","60048","Dynamic Optimization Methods with Applications","Dynamic Optimization Methods with Applications",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"217","22","60047","Stochastic Estimation and Control","Stochastic Estimation and Control",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1566823012"
"218","22","60046","Networks, Complexity and Its Applications","Networks, Complexity and Its Applications",,,"1","topics","1","0","1421761043","0","0","0","0","0","1","1","0","0","0",,,,"1421761043","1421761043","0","0","0","1563799988"
"219","22","60045","Dynamic Programming and Stochastic Control","Dynamic Programming and Stochastic Control",,,"1","topics","1","0","1421761043","0","0","0","0","0","1","1","0","0","0",,,,"1421761043","1421761043","0","0","0","1568974083"
"220","22","60044","Random Walks and Diffusion","Random Walks and Diffusion",,,"1","topics","1","0","1421761042","0","0","0","0","0","1","1","0","0","0",,,,"1421761042","1421761042","0","0","0","1563799988"
"221","22","60043","Limit Theorem copia 3","_3",,"Limit Theorem","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1422274942","1422274942","0","0","0","1563799988"
"222","22","60042","Prediction and Predictability in the Atmosphere and Oceans","Prediction and Predictability in the Atmosphere and Oceans",,,"1","topics","1","0","1421761043","0","0","0","0","0","1","1","0","0","0",,,,"1421761043","1421761043","0","0","0","1563799988"
"223","22","60041","Stochastic Processes, Detection, and Estimation","Stochastic Processes, Detection, and Estimation",,,"1","topics","1","0","1421761043","0","0","0","0","0","1","1","0","0","0",,,,"1421761043","1421761043","0","0","0","1563799988"
"224","22","60040","Mathematics for Computer Science copia 2","Mathematics for Computer Science_2",,,"1","topics","1","0","1421761043","0","0","0","0","0","1","1","0","0","0",,,,"1421761043","1421761043","0","0","0","1563799988"
