"id","contenthash","pathnamehash","contextid","component","filearea","itemid","filepath","filename","userid","filesize","mimetype","status","source","author","license","timecreated","timemodified","sortorder","referencefileid"
"4715","cac1946dc69e2158e68969fe424c8e6e7a6a88d3","8cf1b5700cbaa817e3a996bce82a9ea2d35c13a0","5","user","draft","756619368","/","header.png","2","17556","image/png","0","O:8:""stdClass"":2:{s:6:""source"";s:10:""header.png"";s:8:""original"";s:212:""YTo2OntzOjk6ImNvbnRleHRpZCI7aToxO3M6OToiY29tcG9uZW50IjtzOjEwOiJjb3JlX2FkbWluIjtzOjY6Iml0ZW1pZCI7aTowO3M6ODoiZmlsZWFyZWEiO3M6NDoibG9nbyI7czo4OiJmaWxlcGF0aCI7czoxOiIvIjtzOjg6ImZpbGVuYW1lIjtzOjEwOiJoZWFkZXIucG5nIjt9"";}","Admin Admin","allrightsreserved","1560174525","1560174528","0",NULL
"4716","da39a3ee5e6b4b0d3255bfef95601890afd80709","6104403a6e8b32d2a231c2fee697c20eed99d49f","5","user","draft","756619368","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560174588","1560174588","0",NULL
"4718","da39a3ee5e6b4b0d3255bfef95601890afd80709","4099101727a17144b5da40959ac67a9473ac419c","5","user","draft","160608984","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560174592","1560174592","0",NULL
"4720","da39a3ee5e6b4b0d3255bfef95601890afd80709","dd510151d42a42b95117fa4fb8c6aa8f595bddd4","5","user","draft","672380609","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560176603","1560176603","0",NULL
"4721","cac1946dc69e2158e68969fe424c8e6e7a6a88d3","33aee48e56b6057f6c28d21d23812ead3c2ba6eb","5","user","draft","672380609","/","header.png","2","17556","image/png","0","O:8:""stdClass"":1:{s:6:""source"";s:10:""header.png"";}","Admin Admin","allrightsreserved","1560176651","1560176651","0",NULL
"4722","97a0d62217362c7d575963c6c988726efc6bfd97","a01c50670566548895b7f8000f132651afaae5ea","1","theme_lambda","logo","0","/","header.png","2","73915","image/png","0","header.png","Admin Admin","allrightsreserved","1560176651","1560176945","0",NULL
"4723","cac1946dc69e2158e68969fe424c8e6e7a6a88d3","781cd985bfa1a1e662539aba823718966e6c0a71","5","user","draft","473299256","/","header.png","2","17556","image/png","0","O:8:""stdClass"":2:{s:6:""source"";s:10:""header.png"";s:8:""original"";s:216:""YTo2OntzOjk6ImNvbnRleHRpZCI7aToxO3M6OToiY29tcG9uZW50IjtzOjEyOiJ0aGVtZV9sYW1iZGEiO3M6NjoiaXRlbWlkIjtpOjA7czo4OiJmaWxlYXJlYSI7czo0OiJsb2dvIjtzOjg6ImZpbGVwYXRoIjtzOjE6Ii8iO3M6ODoiZmlsZW5hbWUiO3M6MTA6ImhlYWRlci5wbmciO30="";}","Admin Admin","allrightsreserved","1560176651","1560176653","0",NULL
"4724","da39a3ee5e6b4b0d3255bfef95601890afd80709","bc7928b7214f0b54df8221cd96688217a37f2668","5","user","draft","473299256","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560176654","1560176654","0",NULL
"4725","cac1946dc69e2158e68969fe424c8e6e7a6a88d3","819cb4cba6c27ebaeded7cfe20e94b43079aeb2c","5","user","draft","525854206","/","header.png","2","17556","image/png","0","O:8:""stdClass"":2:{s:6:""source"";s:10:""header.png"";s:8:""original"";s:216:""YTo2OntzOjk6ImNvbnRleHRpZCI7aToxO3M6OToiY29tcG9uZW50IjtzOjEyOiJ0aGVtZV9sYW1iZGEiO3M6NjoiaXRlbWlkIjtpOjA7czo4OiJmaWxlYXJlYSI7czo0OiJsb2dvIjtzOjg6ImZpbGVwYXRoIjtzOjE6Ii8iO3M6ODoiZmlsZW5hbWUiO3M6MTA6ImhlYWRlci5wbmciO30="";}","Admin Admin","allrightsreserved","1560176651","1560176653","0",NULL
"4726","da39a3ee5e6b4b0d3255bfef95601890afd80709","558ec97f0e64adc52d05320bb5cb99cc78961a90","5","user","draft","525854206","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560176723","1560176723","0",NULL
